
--- [START 2019-07-16_01-15-09] ----------------------------------------------------------------

	@common.py:  
	set random seed
		SEED = 1563210910
	set cuda environment
		torch.__version__              = 1.1.0
		torch.version.cuda             = 9.0.176
		torch.backends.cudnn.version() = 7501
		os['CUDA_VISIBLE_DEVICES']     = 0
		torch.cuda.device_count()      = 1



	SEED         = 1563210910
	PROJECT_PATH = /root/share/project/kaggle/2019/chest/build/single_mask_05
	__file__     = /root/share/project/kaggle/2019/chest/build/single_mask_05/unet_0/train2.py
	out_dir      = /root/share/project/kaggle/2019/chest/result/unet-256-fold2-00

** dataset setting **
batch_size = 7
train_dataset : 
	mode   = train
	split  = train2_10075.npy
	csv    = train-rle.csv
	folder = dicom/dicom-images-train
	num_component[n] = 2079
	num_component[0] = 7996
	len    = 10075

valid_dataset : 
	mode   = train
	split  = valid2_600.npy
	csv    = train-rle.csv
	folder = dicom/dicom-images-train
	num_component[n] = 300
	num_component[0] = 300
	len    = 600


** net setting **
	initial_checkpoint = None
<class 'model.UNet'>

optimizer
  SGD (
Parameter Group 0
    dampening: 0
    lr: 0.01
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
schduler
  NullScheduler
lr=0.01000 

** start training here! **
   batch_size=7,  iter_accum=4
                      |----------- VALID -----------|-------- TRAIN/BATCH -------------------------
rate     iter   epoch |  loss    dice   neg   pos   |   loss    dice  neg   pos   |  time          
---------------------------------------------------------------------------------------------------
0.01000   51.0   35.4 |  0.233   0.308  0.21  0.40  |  0.051   0.493  0.47  0.51  |  6 hr 55 min
0.01000   51.5   35.8 |  0.233   0.308  0.21  0.40  |  0.051   0.426  0.34  0.51  |  6 hr 59 min
0.01000   52.0   36.1 |  0.233   0.308  0.21  0.40  |  0.057   0.409  0.40  0.42  |  7 hr 03 min
0.01000   52.5   36.5 |  0.210   0.359  0.32  0.40  |  0.055   0.446  0.43  0.46  |  7 hr 07 min
0.01000   53.0   36.8 |  0.210   0.359  0.32  0.40  |  0.048   0.540  0.59  0.49  |  7 hr 11 min
0.01000   53.5   37.2 |  0.210   0.359  0.32  0.40  |  0.049   0.487  0.48  0.49  |  7 hr 15 min
0.01000   54.0   37.5 |  0.210   0.359  0.32  0.40  |  0.053   0.469  0.50  0.44  |  7 hr 19 min
0.01000   54.5   37.9 |  0.210   0.359  0.32  0.40  |  0.049   0.445  0.43  0.45  |  7 hr 23 min
0.01000   55.0*  38.2 |  0.246   0.415  0.40  0.43  |  0.048   0.513  0.51  0.51  |  7 hr 28 min
0.01000   55.5   38.6 |  0.246   0.415  0.40  0.43  |  0.047   0.523  0.55  0.50  |  7 hr 32 min
0.01000   56.0   38.9 |  0.246   0.415  0.40  0.43  |  0.049   0.560  0.63  0.48  |  7 hr 36 min
0.01000   56.5   39.3 |  0.246   0.415  0.40  0.43  |  0.048   0.471  0.46  0.48  |  7 hr 40 min
0.01000   57.0   39.6 |  0.246   0.415  0.40  0.43  |  0.046   0.534  0.55  0.51  |  7 hr 44 min
0.01000   57.5   40.0 |  0.320   0.562  0.70  0.42  |  0.043   0.533  0.54  0.52  |  7 hr 48 min
0.01000   58.0   40.3 |  0.320   0.562  0.70  0.42  |  0.059   0.345  0.28  0.41  |  7 hr 52 min
0.01000   58.5   40.6 |  0.320   0.562  0.70  0.42  |  0.046   0.528  0.57  0.49  |  7 hr 56 min
0.01000   59.0   41.0 |  0.320   0.562  0.70  0.42  |  0.054   0.421  0.39  0.45  |  8 hr 00 min
0.01000   59.5   41.3 |  0.320   0.562  0.70  0.42  |  0.049   0.483  0.47  0.49  |  8 hr 04 min
0.01000   60.0*  41.7 |  0.254   0.458  0.51  0.40  |  0.048   0.450  0.42  0.48  |  8 hr 08 min
0.01000   60.5   42.0 |  0.254   0.458  0.51  0.40  |  0.063   0.283  0.18  0.39  |  8 hr 12 min
0.01000   61.0   42.4 |  0.254   0.458  0.51  0.40  |  0.049   0.462  0.44  0.48  |  8 hr 16 min
0.01000   61.5   42.7 |  0.254   0.458  0.51  0.40  |  0.046   0.502  0.52  0.48  |  8 hr 20 min
